date,FII_fl,FII_fs,FII_ratio,FII_net,DII_fl,DII_fs,DII_ratio,DII_net,Client_fl,Client_fs,Client_ratio,Client_net,Pro_fl,Pro_fs,Pro_ratio,Pro_net
2016-01-01,126362.0,123505.0,0.5057170414660599,2857.0,29789.0,4528.0,0.8680537343007839,25261.0,140404.0,187689.0,0.4279396390657527,-47285.0,33177.0,14010.0,0.7030961917477271,19167.0
2016-01-04,133549.0,131346.0,0.5041582513826233,2203.0,29804.0,6540.0,0.8200528285274048,23264.0,160340.0,196224.0,0.4496808427098641,-35884.0,29426.0,19009.0,0.6075358728192423,10417.0
2016-01-05,139960.0,137237.0,0.5049116693182105,2723.0,29980.0,5556.0,0.8436515083295812,24424.0,168558.0,198360.0,0.4593887462593822,-29802.0,28250.0,25595.0,0.5246540997307085,2655.0
2016-01-06,131249.0,138057.0,0.4873601033768278,-6808.0,29980.0,5565.0,0.8434378956252637,24415.0,184830.0,201647.0,0.4782432072283732,-16817.0,27280.0,28070.0,0.4928635953026197,-790.0
2016-01-07,122553.0,156541.0,0.4391101206045275,-33988.0,30108.0,5570.0,0.8438813834856214,24538.0,206133.0,194721.0,0.5142346091095511,11412.0,30623.0,32585.0,0.484479812681939,-1962.0
2016-01-08,116975.0,157240.0,0.4265813321663658,-40265.0,30108.0,5565.0,0.8439996636111344,24543.0,212819.0,191068.0,0.5269270860413927,21751.0,28930.0,34959.0,0.4528166037972108,-6029.0
2016-01-11,116161.0,162065.0,0.4175059124596551,-45904.0,30746.0,5428.0,0.8499474760877979,25318.0,220406.0,198069.0,0.5266885715992592,22337.0,32262.0,34013.0,0.486789890607318,-1751.0
2016-01-12,117646.0,167758.0,0.4122086586032431,-50112.0,30759.0,5428.0,0.8500013817116644,25331.0,229407.0,203188.0,0.5303043262173627,26219.0,34973.0,36411.0,0.4899277148940939,-1438.0
2016-01-13,120671.0,164503.0,0.423148674142804,-43832.0,31064.0,5253.0,0.855356995346532,25811.0,229926.0,201113.0,0.5334227297297924,28813.0,32342.0,43134.0,0.4285070750967195,-10792.0
2016-01-14,122507.0,167819.0,0.4219635857622121,-45312.0,31124.0,5265.0,0.855313418890324,25859.0,239459.0,205676.0,0.5379469149808485,33783.0,32378.0,46708.0,0.4094024226791088,-14330.0
2016-01-15,129530.0,171465.0,0.4303393744082127,-41935.0,31556.0,5265.0,0.8570109448412591,26291.0,245809.0,206118.0,0.5439130656057284,39691.0,31217.0,55264.0,0.3609694615002139,-24047.0
2016-01-18,144617.0,167845.0,0.4628306802107136,-23228.0,33181.0,4978.0,0.8695458476375167,28203.0,214824.0,205230.0,0.5114199602908197,9594.0,30014.0,44583.0,0.402348619917691,-14569.0
2016-01-19,146914.0,162863.0,0.4742572883073953,-15949.0,37817.0,6275.0,0.8576839335933957,31542.0,203801.0,203106.0,0.500854003494656,695.0,27854.0,44142.0,0.3868826045891438,-16288.0
2016-01-20,146697.0,163327.0,0.4731794957809718,-16630.0,37472.0,6275.0,0.8565615927949345,31197.0,216296.0,200595.0,0.5188310613565656,15701.0,28777.0,59045.0,0.3276741590945321,-30268.0
2016-01-21,153626.0,163902.0,0.4838187498425336,-10276.0,37158.0,6275.0,0.8555246011097553,30883.0,205563.0,199249.0,0.5077986818572572,6314.0,26127.0,53048.0,0.3299905273129144,-26921.0
2016-01-22,152334.0,151683.0,0.5010706638115632,651.0,37336.0,5729.0,0.8669685359340532,31607.0,199723.0,206847.0,0.4912389010502496,-7124.0,27929.0,53063.0,0.3448365270644014,-25134.0
2016-01-25,146632.0,164144.0,0.4718253661801426,-17512.0,37332.0,5411.0,0.8734061717708163,31921.0,202996.0,200829.0,0.5026830929239151,2167.0,29393.0,45969.0,0.3900241501021735,-16576.0
2016-01-27,164046.0,193279.0,0.4590946617225215,-29233.0,34897.0,5411.0,0.8657586583308524,29486.0,234732.0,227958.0,0.5073202360111522,6774.0,34453.0,41480.0,0.4537289452543689,-7027.0
2016-01-28,60694.0,135505.0,0.3093491811884872,-74811.0,32654.0,5923.0,0.8464629183192057,26731.0,199605.0,177787.0,0.5289062831220588,21818.0,43487.0,17225.0,0.7162834365529055,26262.0
